ds;y;Região;Temperatura;Umidade;População 2024;e_feriado;dia_semana;dia_mes;semana_ano;mes;trimestre
2024-01-29;7684,419;Sul;22,7;78,2;31113021;False;0;29;5;1;1
2024-01-30;8552,771999999999;Nordeste;27,4;71,8;57112096;False;1;30;5;1;1
2024-01-30;3877,857;Norte;26,6;83,1;18669345;False;1;30;5;1;1
2024-01-30;26408,681;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;1;30;5;1;1
2024-01-30;8388,433;Sul;22,7;78,2;31113021;False;1;30;5;1;1
2024-01-31;8568,289999999999;Nordeste;27,4;71,8;57112096;False;2;31;5;1;1
2024-01-31;4013,609;Norte;26,6;83,1;18669345;False;2;31;5;1;1
2024-01-31;26857,871;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;2;31;5;1;1
2024-01-31;8869,615;Sul;22,7;78,2;31113021;False;2;31;5;1;1
2024-02-01;8640,362;Nordeste;26,7;75,9;57112096;False;3;1;5;2;1
2024-02-01;3864,628;Norte;26,6;82,7;18669345;False;3;1;5;2;1
2024-02-01;24973,685;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;3;1;5;2;1
2024-02-01;8925,658;Sul;23,9;78,5;31113021;False;3;1;5;2;1
2024-02-02;8578,358;Nordeste;26,7;75,9;57112096;False;4;2;5;2;1
2024-02-02;3666,971;Norte;26,6;82,7;18669345;False;4;2;5;2;1
2024-02-02;25156,324;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;4;2;5;2;1
2024-02-02;8700,426;Sul;23,9;78,5;31113021;False;4;2;5;2;1
2024-02-03;8074,12;Nordeste;26,7;75,9;57112096;False;5;3;5;2;1
2024-02-03;3489,795;Norte;26,6;82,7;18669345;False;5;3;5;2;1
2024-02-03;23130,042999999998;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;5;3;5;2;1
2024-02-03;8078,785;Sul;23,9;78,5;31113021;False;5;3;5;2;1
2024-02-04;7704,834;Nordeste;26,7;75,9;57112096;False;6;4;5;2;1
2024-02-04;3569,318;Norte;26,6;82,7;18669345;False;6;4;5;2;1
2024-02-04;22156,847;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;6;4;5;2;1
2024-02-04;8268,292;Sul;23,9;78,5;31113021;False;6;4;5;2;1
2024-02-05;8855,982;Nordeste;26,7;75,9;57112096;False;0;5;6;2;1
2024-02-05;3949,699;Norte;26,6;82,7;18669345;False;0;5;6;2;1
2024-02-05;25540,133;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;0;5;6;2;1
2024-02-05;9669,252;Sul;23,9;78,5;31113021;False;0;5;6;2;1
2024-02-06;9054,974;Nordeste;26,7;75,9;57112096;False;1;6;6;2;1
2024-02-06;4007,325;Norte;26,6;82,7;18669345;False;1;6;6;2;1
2024-02-06;26628,092;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;1;6;6;2;1
2024-02-06;10073,772;Sul;23,9;78,5;31113021;False;1;6;6;2;1
2024-02-07;9192,681;Nordeste;26,7;75,9;57112096;False;2;7;6;2;1
2024-02-07;4052,227;Norte;26,6;82,7;18669345;False;2;7;6;2;1
2024-02-07;27335,624;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;2;7;6;2;1
2024-02-07;10228,399;Sul;23,9;78,5;31113021;False;2;7;6;2;1
2024-02-08;9254,919;Nordeste;26,7;75,9;57112096;False;3;8;6;2;1
2024-02-08;4107,114;Norte;26,6;82,7;18669345;False;3;8;6;2;1
2024-02-08;27428,858;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;3;8;6;2;1
2024-02-08;10259,907;Sul;23,9;78,5;31113021;False;3;8;6;2;1
2024-02-09;8905,341;Nordeste;26,7;75,9;57112096;False;4;9;6;2;1
2024-02-09;3958,4550000000004;Norte;26,6;82,7;18669345;False;4;9;6;2;1
2024-02-09;27014,79;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;4;9;6;2;1
2024-02-09;10461,592;Sul;23,9;78,5;31113021;False;4;9;6;2;1
2024-02-10;7777,906;Nordeste;26,7;75,9;57112096;False;5;10;6;2;1
2024-02-10;3586,743;Norte;26,6;82,7;18669345;False;5;10;6;2;1
2024-02-10;24508,694000000003;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;5;10;6;2;1
2024-02-10;9216,403;Sul;23,9;78,5;31113021;False;5;10;6;2;1
2024-02-11;6998,854;Nordeste;26,7;75,9;57112096;False;6;11;6;2;1
2024-02-11;3357,707;Norte;26,6;82,7;18669345;False;6;11;6;2;1
2024-02-11;23164,494;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;6;11;6;2;1
2024-02-11;8733,412;Sul;23,9;78,5;31113021;False;6;11;6;2;1
2024-02-12;7191,994;Nordeste;26,7;75,9;57112096;False;0;12;7;2;1
2024-02-12;3491,797;Norte;26,6;82,7;18669345;False;0;12;7;2;1
2024-02-12;24919,154000000002;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;0;12;7;2;1
2024-02-12;9943,834;Sul;23,9;78,5;31113021;False;0;12;7;2;1
2024-02-13;7342,471;Nordeste;26,7;75,9;57112096;False;1;13;7;2;1
2024-02-13;3278,4550000000004;Norte;26,6;82,7;18669345;False;1;13;7;2;1
2024-02-13;25179,686;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;1;13;7;2;1
2024-02-13;9491,68;Sul;23,9;78,5;31113021;False;1;13;7;2;1
2024-02-14;7897,631;Nordeste;26,7;75,9;57112096;False;2;14;7;2;1
2024-02-14;3549,667;Norte;26,6;82,7;18669345;False;2;14;7;2;1
2024-02-14;27244,176;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;2;14;7;2;1
2024-02-14;8618,865;Sul;23,9;78,5;31113021;False;2;14;7;2;1
2024-02-15;8543,104;Nordeste;26,7;75,9;57112096;False;3;15;7;2;1
2024-02-15;3825,856;Norte;26,6;82,7;18669345;False;3;15;7;2;1
2024-02-15;26579,611;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;3;15;7;2;1
2024-02-15;8253,684000000001;Sul;23,9;78,5;31113021;False;3;15;7;2;1
2024-02-16;8344,276;Nordeste;26,7;75,9;57112096;False;4;16;7;2;1
2024-02-16;3846,611;Norte;26,6;82,7;18669345;False;4;16;7;2;1
2024-02-16;25534,796000000002;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;4;16;7;2;1
2024-02-16;8152,645;Sul;23,9;78,5;31113021;False;4;16;7;2;1
2024-02-17;7898,403;Nordeste;26,7;75,9;57112096;False;5;17;7;2;1
2024-02-17;3691,7700000000004;Norte;26,6;82,7;18669345;False;5;17;7;2;1
2024-02-17;23631,788;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;5;17;7;2;1
2024-02-17;7217,907;Sul;23,9;78,5;31113021;False;5;17;7;2;1
2024-02-18;7685,597;Nordeste;26,7;75,9;57112096;False;6;18;7;2;1
2024-02-18;3504,2659999999996;Norte;26,6;82,7;18669345;False;6;18;7;2;1
2024-02-18;22620,072;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;6;18;7;2;1
2024-02-18;7121,223;Sul;23,9;78,5;31113021;False;6;18;7;2;1
2024-02-19;8349,287;Nordeste;26,7;75,9;57112096;False;0;19;8;2;1
2024-02-19;3780,464;Norte;26,6;82,7;18669345;False;0;19;8;2;1
2024-02-19;25639,279000000002;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;0;19;8;2;1
2024-02-19;8750,194;Sul;23,9;78,5;31113021;False;0;19;8;2;1
2024-02-20;8390,462;Nordeste;26,7;75,9;57112096;False;1;20;8;2;1
2024-02-20;3723,678;Norte;26,6;82,7;18669345;False;1;20;8;2;1
2024-02-20;25814,371;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;1;20;8;2;1
2024-02-20;8380,874;Sul;23,9;78,5;31113021;False;1;20;8;2;1
2024-02-21;8123,106;Nordeste;26,7;75,9;57112096;False;2;21;8;2;1
2024-02-21;3792,149;Norte;26,6;82,7;18669345;False;2;21;8;2;1
2024-02-21;25424,702;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;2;21;8;2;1
2024-02-21;8288,816;Sul;23,9;78,5;31113021;False;2;21;8;2;1
2024-02-22;8090,633;Nordeste;26,7;75,9;57112096;False;3;22;8;2;1
2024-02-22;3763,6899999999996;Norte;26,6;82,7;18669345;False;3;22;8;2;1
2024-02-22;25879,948;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;3;22;8;2;1
2024-02-22;8813,266;Sul;23,9;78,5;31113021;False;3;22;8;2;1
2024-02-23;8036,052;Nordeste;26,7;75,9;57112096;False;4;23;8;2;1
2024-02-23;3777,9269999999997;Norte;26,6;82,7;18669345;False;4;23;8;2;1
2024-02-23;27015,939;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;4;23;8;2;1
2024-02-23;9678,306;Sul;23,9;78,5;31113021;False;4;23;8;2;1
2024-02-24;7396,839;Nordeste;26,7;75,9;57112096;False;5;24;8;2;1
2024-02-24;3653,58;Norte;26,6;82,7;18669345;False;5;24;8;2;1
2024-02-24;25012,909;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;5;24;8;2;1
2024-02-24;8956,222;Sul;23,9;78,5;31113021;False;5;24;8;2;1
2024-02-25;7225,299;Nordeste;26,7;75,9;57112096;False;6;25;8;2;1
2024-02-25;3482,227;Norte;26,6;82,7;18669345;False;6;25;8;2;1
2024-02-25;23823,311;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;6;25;8;2;1
2024-02-25;8211,462;Sul;23,9;78,5;31113021;False;6;25;8;2;1
2024-02-26;8106,868;Nordeste;26,7;75,9;57112096;False;0;26;9;2;1
2024-02-26;3629,748;Norte;26,6;82,7;18669345;False;0;26;9;2;1
2024-02-26;27549,593999999997;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;0;26;9;2;1
2024-02-26;9246,622;Sul;23,9;78,5;31113021;False;0;26;9;2;1
2024-02-27;8161,901;Nordeste;26,7;75,9;57112096;False;1;27;9;2;1
2024-02-27;3613,483;Norte;26,6;82,7;18669345;False;1;27;9;2;1
2024-02-27;28233,843;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;1;27;9;2;1
2024-02-27;9432,504;Sul;23,9;78,5;31113021;False;1;27;9;2;1
2024-02-28;8151,271;Nordeste;26,7;75,9;57112096;False;2;28;9;2;1
2024-02-28;3629,12;Norte;26,6;82,7;18669345;False;2;28;9;2;1
2024-02-28;29445,988;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;2;28;9;2;1
2024-02-28;9719,166;Sul;23,9;78,5;31113021;False;2;28;9;2;1
2024-02-29;8340,943;Nordeste;26,7;75,9;57112096;False;3;29;9;2;1
2024-02-29;3778,59;Norte;26,6;82,7;18669345;False;3;29;9;2;1
2024-02-29;30072,134;Sudeste/Centro-Oeste;24,677678881704644;77,9415579902478;105689288;False;3;29;9;2;1
2024-02-29;9731,519;Sul;23,9;78,5;31113021;False;3;29;9;2;1
2024-03-01;8547,155999999999;Nordeste;27,1;77,3;57112096;False;4;1;9;3;1
2024-03-01;3869,684;Norte;26,8;83,6;18669345;False;4;1;9;3;1
2024-03-01;29167,834000000003;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;4;1;9;3;1
2024-03-01;9330,396;Sul;22,7;79,3;31113021;False;4;1;9;3;1
2024-03-02;8153,795;Nordeste;27,1;77,3;57112096;False;5;2;9;3;1
2024-03-02;3615,997;Norte;26,8;83,6;18669345;False;5;2;9;3;1
2024-03-02;25105,722999999998;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;5;2;9;3;1
2024-03-02;8419,64;Sul;22,7;79,3;31113021;False;5;2;9;3;1
2024-03-03;7698,7;Nordeste;27,1;77,3;57112096;False;6;3;9;3;1
2024-03-03;3444,628;Norte;26,8;83,6;18669345;False;6;3;9;3;1
2024-03-03;23623,317000000003;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;6;3;9;3;1
2024-03-03;8078,232;Sul;22,7;79,3;31113021;False;6;3;9;3;1
2024-03-04;8465,344000000001;Nordeste;27,1;77,3;57112096;False;0;4;10;3;1
2024-03-04;3686,337;Norte;26,8;83,6;18669345;False;0;4;10;3;1
2024-03-04;27734,502;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;0;4;10;3;1
2024-03-04;9033,586;Sul;22,7;79,3;31113021;False;0;4;10;3;1
2024-03-05;8513,466;Nordeste;27,1;77,3;57112096;False;1;5;10;3;1
2024-03-05;3780,245;Norte;26,8;83,6;18669345;False;1;5;10;3;1
2024-03-05;28319,157;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;1;5;10;3;1
2024-03-05;8164,852999999999;Sul;22,7;79,3;31113021;False;1;5;10;3;1
2024-03-06;8403,708999999999;Nordeste;27,1;77,3;57112096;False;2;6;10;3;1
2024-03-06;4052,0060000000003;Norte;26,8;83,6;18669345;False;2;6;10;3;1
2024-03-06;27528,730000000003;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;2;6;10;3;1
2024-03-06;7775,6900000000005;Sul;22,7;79,3;31113021;False;2;6;10;3;1
2024-03-07;8567,537;Nordeste;27,1;77,3;57112096;False;3;7;10;3;1
2024-03-07;4048,895;Norte;26,8;83,6;18669345;False;3;7;10;3;1
2024-03-07;27436,638;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;3;7;10;3;1
2024-03-07;8355,277;Sul;22,7;79,3;31113021;False;3;7;10;3;1
2024-03-08;8514,632;Nordeste;27,1;77,3;57112096;False;4;8;10;3;1
2024-03-08;3919,2760000000003;Norte;26,8;83,6;18669345;False;4;8;10;3;1
2024-03-08;27497,408;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;4;8;10;3;1
2024-03-08;8833,715;Sul;22,7;79,3;31113021;False;4;8;10;3;1
2024-03-09;8013,264;Nordeste;27,1;77,3;57112096;False;5;9;10;3;1
2024-03-09;3647,659;Norte;26,8;83,6;18669345;False;5;9;10;3;1
2024-03-09;25660,18;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;5;9;10;3;1
2024-03-09;7781,515;Sul;22,7;79,3;31113021;False;5;9;10;3;1
2024-03-10;7782,503;Nordeste;27,1;77,3;57112096;False;6;10;10;3;1
2024-03-10;3640,425;Norte;26,8;83,6;18669345;False;6;10;10;3;1
2024-03-10;24412,082000000002;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;6;10;10;3;1
2024-03-10;7240,075000000001;Sul;22,7;79,3;31113021;False;6;10;10;3;1
2024-03-11;8836,641;Nordeste;27,1;77,3;57112096;False;0;11;11;3;1
2024-03-11;3917,566;Norte;26,8;83,6;18669345;False;0;11;11;3;1
2024-03-11;27176,108;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;0;11;11;3;1
2024-03-11;8369,874;Sul;22,7;79,3;31113021;False;0;11;11;3;1
2024-03-12;9118,127;Nordeste;27,1;77,3;57112096;False;1;12;11;3;1
2024-03-12;4027,606;Norte;26,8;83,6;18669345;False;1;12;11;3;1
2024-03-12;27301,277000000002;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;1;12;11;3;1
2024-03-12;8750,529999999999;Sul;22,7;79,3;31113021;False;1;12;11;3;1
2024-03-13;9053,386;Nordeste;27,1;77,3;57112096;False;2;13;11;3;1
2024-03-13;3992,298;Norte;26,8;83,6;18669345;False;2;13;11;3;1
2024-03-13;27873,841999999997;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;2;13;11;3;1
2024-03-13;9332,142;Sul;22,7;79,3;31113021;False;2;13;11;3;1
2024-03-14;8856,521;Nordeste;27,1;77,3;57112096;False;3;14;11;3;1
2024-03-14;4025,538;Norte;26,8;83,6;18669345;False;3;14;11;3;1
2024-03-14;28672,457000000002;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;3;14;11;3;1
2024-03-14;9989,842;Sul;22,7;79,3;31113021;False;3;14;11;3;1
2024-03-15;8601,287;Nordeste;27,1;77,3;57112096;False;4;15;11;3;1
2024-03-15;3959,0699999999997;Norte;26,8;83,6;18669345;False;4;15;11;3;1
2024-03-15;29534,136;Sudeste/Centro-Oeste;24,977678881704644;78,63538949756195;105689288;False;4;15;11;3;1
2024-03-15;10260,185;Sul;22,7;79,3;31113021;False;4;15;11;3;1
2024-03-16;8094,809;Nordeste;27,1;77,3;57112096;False;5;16;11;3;1
